Name,Synonym,CAS,SMILES,CID
CaCCinh-A01,,407587-33-1,CC(C)(C)C1CCC2=C(C1)SC(=C2C(=O)O)NC(=O)C3=CC=CO3,
GNE-617,GNE617; GNE 617; GNE-617,1362154-70-8,C1=CC(=CC=C1CNC(=O)C2=CN3C=CN=C3C=C2)S(=O)(=O)C4=CC(=CC(=C4)F)F,
PCI 29732,PCI29732; PCI 29732; PCI-29732,330786-25-9,C1CCC(C1)N2C3=C(C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)C(=NC=N3)N,
USP7/USP47 inhibitor,USP7/47 inhibitor-1,1247825-37-1,CS(=O)(=O)C1=CC=C(C=C1)NC(=O)C2=CC(=C(S2)SC3=C(C=NC=C3Cl)Cl)C#N,
YU238259,,1943733-16-1,COc1ccc(cc1)S(=O)(=O)NCc2ccc(cc2)C(=O)NCCc3ccc(Cl)cn3,
ALW-II-41-27,Eph receptor tyrosine kinase inhibitor,1186206-79-0,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)c4cncc(c4)-c4cccs4)c3)cc2C(F)(F)F)CC1,
CeMMEC1,CeMMEC1 HCl,440662-09-9,O=C2c1ccccc1C(=CN2C)C(=O)Nc3ccc4OCCOc4c3,
DAMGO,DAGO; RX-783006; Dagol,78123-71-4,Oc2ccc(C[C@H](N)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)NCCO)cc2,
CGP52432,CGP 52432,139667-74-6,CCOC(OCC)P(=O)(CCCNCC1=CC(=C(C=C1)Cl)Cl)O,
Mycro 3,Mycro-3; Mycro 3,944547-46-0,CCOC(=O)c1c(n(nc1)c1ccccc1)NC(=O)c1nn2c(cc(nc2c1)c1ccco1)C(F)(F)Cl,
SCH-23390 hydrochloride,SCH 23390 hydrochloride; R-(+)-SCH23390 hydrochloride,125941-87-9,OC1=C(Cl)C=C2CCN(C)C[C@H](C3=CC=CC=C3)C2=C1.[H]Cl,
Resminostat hydrochloride,4SC-201 hydrochloride; RAS2410 hydrochloride,1187075-34-8,O=C(NO)/C=C/C1=CN(S(=O)(C2=CC=C(CN(C)C)C=C2)=O)C=C1.Cl,
PF-4840154,PF4840154; PF 4840154; PF-4840154,1332708-14-1,CC(C)CNc2nc(ncc2C(=O)NCc1ccccc1)N3CCN(CC3)CC4CCCOC4,
PHTPP,,805239-56-9,C1=CC=C(C=C1)C2=NN3C(=CC(=NC3=C2C4=CC=C(C=C4)O)C(F)(F)F)C(F)(F)F,
SR-4370,SR4370; SR 4370; SR-4370,1816294-67-3,Fc1c(cccc1F)c2ccc(cc2)C(=O)NNCCCC,
Syk Inhibitor II (hydrochloride),,227449-73-2,Cl.Cl.NCCNc1ncc(C(N)=O)c(Nc2cccc(c2)C(F)(F)F)n1,
LX2343,,333745-53-2,Clc1cc(c(OC)cc1)N(CC(=O)Nc2ccc3OCOc3c2)S(=O)(=O)c4ccccc4,
ML239,CID-49843203,1378872-36-6,Clc1cc(Cl)c(OCC(=O)N\N=C\c2ccc[nH]2)c(Cl)c1,
DIM-C-pPhOH,CDIM8,151358-47-3,Oc1ccc(cc1)C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,
LM10,,1316695-35-8,Fc1ccc2c(\C=C\c3nnn[nH]3)c[nH]c2c1,
LDC-4297 HCl (1453834-21-3(free base)),,T4417,Cl.CC(C)c1cnn2c(NCc3ccccc3-n3cccn3)nc(OC3CCCNC3)nc12,
UNC2025 2HCl (1429881-91-3(free base)),,T4419,Cl.Cl.CCCCNc1ncc2c(cn([C@H]3CC[C@H](O)CC3)c2n1)-c1ccc(CN2CCN(C)CC2)cc1,
LY 303511 hydrochloride,LY303511 hydrochloride,2070014-90-1,Cl.O=C2C=C(Oc1c(cccc12)c3ccccc3)N4CCNCC4,
JK-P3,,942655-44-9,COc1c(cc(cc1)C(=O)Nc1n[nH]c(c1)c1ccccc1)OC,
CCT241736,,1402709-93-6,Cc1nn(C)cc1-c1nc2c(N3CCN(Cc4ccc(Cl)cc4)CC3)c(Cl)cnc2[nH]1,
Saclofen,,125464-42-8,NCC(CS(O)(=O)=O)c1ccc(Cl)cc1,
MK2-IN-1 hydrochloride,MK2 Inhibitor; MK 25,1314118-94-9,Cl.Clc1ccc(cc1)-c1ccc(o1)C(=O)N(Cc1ccccn1)c1ccc(cc1)N1CCNCC1,
Pyridostatin Trihydrochloride,RR-82 Trihydrochloride; Pyridostatin Trihydrochloride(free base 1085412-37-8 ),T4457,Cl.Cl.Cl.NCCOc1cc(nc(c1)C(=O)Nc1cc(OCCN)c2ccccc2n1)C(=O)Nc1cc(OCCN)c2ccccc2n1,
PK11000,,38275-34-2,O=S(C)(=O)c1nc(C(=O)O)c(Cl)cn1,
Pyridostatin TFA,,1472611-44-1,OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.NCCOc1cc(nc(c1)C(=O)Nc1cc(OCCN)c2ccccc2n1)C(=O)Nc1cc(OCCN)c2ccccc2n1,
ST271,ST 271,106392-48-7,CC(C)c1cc(cc(c1O)C(C)C)/C=C(\C#N)/C(=O)N,
ML-18,ML 18,1422269-30-4,COc1ccc(cc1)C1(CCCCC1)CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)Nc1ccc(cc1)[N+](=O)[O-],
AG 1406,,71308-34-4,CC(C)c1cc(cc(c1O)C(C)C)C=C(C#N)C#N,
Z-DEVD-FMK,Caspase-3 Inhibitor,210344-95-9,COC(=O)CC[C@H](NC(=O)[C@H](CC(=O)OC)NC(=O)OCc1ccccc1)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(=O)OC)C(=O)CF,
Birinapant,TL32711,1260251-31-7,CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@@H](O)C[C@H]1Cc1c([nH]c2cc(F)ccc12)-c1[nH]c2cc(F)ccc2c1C[C@@H]1C[C@H](O)CN1C(=O)[C@H](CC)NC(=O)[C@H](C)NC,
CNX-2006,CNX2006; CNX 2006; CNX-2006,1375465-09-0,COc1c(Nc2ncc(c(Nc3cccc(NC(=O)C=C)c3)n2)C(F)(F)F)ccc(NC2CN(CCF)C2)c1,
Linsitinib,OSI-906,867160-71-2,C[C@]1(C[C@@H](C1)c1nc(c2n1ccnc2N)c1cc2c(cc1)ccc(n2)c1ccccc1)O,
LY404039,pomaglumetad,635318-11-5,C1[C@]([C@@H]2[C@H]([C@@H]2S1(=O)=O)C(=O)O)(C(=O)O)N,
Zotarolimus,A 179578; ABT-578,221877-54-9,[H][C@@]12CCCCN1C(=O)C(=O)[C@]1(O)O[C@@H](CC[C@H]1C)C[C@H](OC)\C(C)=C\C=C\C=C\[C@@H](C)C[C@@H](C)C(=O)[C@H](OC)[C@H](O)\C(C)=C\[C@@H](C)C(=O)C[C@H](OC2=O)[C@H](C)C[C@@H]1CC[C@@H]([C@@H](C1)OC)N1C=NN=N1,
UMI-77,UMI77; UMI 77; UMI-77,518303-20-3,c1ccc2c(c1)c(cc(c2O)SCC(=O)O)NS(=O)(=O)c1ccc(cc1)Br,
E-64,E64; E 64; E-64; Proteinase inhibitor E 64,66701-25-5,CC(C)C[C@H](NC(=O)[C@@H]1O[C@H]1C(O)=O)C(=O)NCCCCNC(N)=N,
TAK-285,TAK285; TAK 285; TAK-285,871026-44-7,CC(C)(O)CC(=O)NCCN1C=CC2=C1C(NC1=CC=C(OC3=CC=CC(=C3)C(F)(F)F)C(Cl)=C1)=NC=N2,
Torin 1,,1222998-36-8,CCC(=O)N1CCN(CC1)c1c(cc(cc1)n1c(=O)ccc2cnc3ccc(cc3c12)c1cc2ccccc2nc1)C(F)(F)F,
TAK-700,(S/R)-Orteronel; Orteronel,426219-18-3,CNC(=O)C1=CC2=C(C=C1)C=C(C=C2)C3(CCN4C3=CN=C4)O,
GW 441756,,504433-23-2,Cn1cc(C=C2C(=O)Nc3cccnc23)c2ccccc12,
URMC-099,URMC099; URMC 099; URMC-099,1229582-33-5,CN1CCN(Cc2ccc(cc2)-c2cnc3[nH]cc(-c4ccc5[nH]ccc5c4)c3c2)CC1,
LMK-235,LMK235; LMK 235; LMK-235,1418033-25-6,Cc1cc(cc(c1)C(=O)NOCCCCCC(=O)NO)C,
LY-411575,LY411575,209984-57-6,C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@H]1c2ccccc2-c2ccccc2N(C)C1=O,
Triciribine,NSC 154020; TCN; API-2; VD-0002; Tricyclic nucleoside,35943-35-2,Cn1c2ncnc3c2c(cn3[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)c(n1)N,
KPT276,KPT 276; KPT-276,1421919-75-6,C1C(CN1C(=O)/C=C\n1cnc(n1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)(F)F,
ZM-447439,ZM 447439,331771-20-1,COC1=C(OCCCN2CCOCC2)C=C2N=CN=C(NC3=CC=C(NC(=O)C4=CC=CC=C4)C=C3)C2=C1,
Milciclib,PHA-848125,802539-81-7,CNC(=O)C1=NN(C)C2=C1C(C)(C)CC1=CN=C(NC3=CC=C(C=C3)N3CCN(C)CC3)N=C21,
SSR128129E,SSR,848318-25-2,Cc1c(n2ccccc2c1OC)C(=O)c1cc(c(cc1)N)C(=O)[O-].[Na+],
Rabusertib,IC-83; LY2603618,911222-45-2,Cc1cc(c(cc1Br)NC(=O)Nc1ncc(nc1)C)OC[C@@H]1CNCCO1,
GNF-5837,GNF5837; GNF 5837; GNF-5837,1033769-28-6,Cc1c(cc(cc1)NC(=O)Nc1c(ccc(c1)C(F)(F)F)F)Nc1cc2c(cc1)/C(=C/c1ccc[nH]1)/C(=O)N2,
Torin 2,,1223001-51-1,c1cc(cc(c1)n1c(=O)ccc2cnc3ccc(cc3c12)c1cnc(cc1)N)C(F)(F)F,
IU1,,314245-33-5,Cc1cc(c(n1c1ccc(cc1)F)C)C(=O)CN1CCCC1,
Ki16425,Debio 0719,355025-24-0,Cc1noc(c1NC(=O)OC(C)c1ccccc1Cl)c1ccc(cc1)CSCCC(=O)O,
YM-201636,YM201636,371942-69-7,C1COCCN1c1nc(nc2c1oc1c2cccn1)c1cc(ccc1)NC(=O)c1cnc(cc1)N,
GSK-1070916,GSK1070916; GSK-1070916A,942918-07-2,CCN1C=C(C(=N1)C1=CC=C(NC(=O)N(C)C)C=C1)C1=C2C=C(NC2=NC=C1)C1=CC=CC(CN(C)C)=C1,
Skepinone-L,CBS3830,1221485-83-1,OC[C@@H](O)COc1ccc2CCc3cc(Nc4ccc(F)cc4F)ccc3C(=O)c2c1,
YO-01027,Dibenzazepine; DBZ; YO-01027; gamma-Secretase Inhibitor XX,209984-56-5,C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)N[C@H]1c2ccccc2-c2ccccc2N(C)C1=O,
Canertinib,PD-183805; CI-1033,267243-28-7,C=CC(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1,
TCS 359,FLT3 Inhibitor,301305-73-7,COc1ccc(cc1OC)C(=O)Nc1sc2CCCCc2c1C(N)=O,
Dorsomorphin dihydrochloride,Compound C dihydrochloride; BML-275 dihydrochloride; Dorsomorphin (Compound C) 2HCl; BML-275 2HCl; Compound C 2HCl,1219168-18-9,Cl.Cl.C(CN1CCCCC1)Oc1ccc(cc1)-c1cnc2c(cnn2c1)-c1ccncc1,
CX-6258 hydrochloride,CX-6258 HCl; Pim-Kinase Inhibitor X,1353859-00-3,CN1CCCN(CC1)C(=O)c1cccc(c1)c1ccc(o1)/C=C/1\c2c(ccc(c2)Cl)NC1=O.Cl,
YH239-EE,,1364488-67-4,CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(N(Cc1ccc(Cl)cc1)C=O)C(=O)NC(C)(C)C,
TAK-715,TAK715; TAK 715; TAK-715,303162-79-0,CCc1nc(c(s1)c1cc(ncc1)NC(=O)c1ccccc1)c1cc(ccc1)C,
PD318088,,391210-00-7,c1cc(c(cc1I)F)Nc1c(c(c(cc1C(=O)NOCC(CO)O)Br)F)F,
Ruxolitinib (S enantiomer),S-Ruxolitinib; INCB18424; Ruxolitinib S enantiomer; INCB018424,941685-37-6,N#CC[C@@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12,
LDN-193189 HCl,LDN193189 Hydrochloride,1062368-62-0,N1(c2ccc(c3cnc4n(c3)ncc4c3ccnc4c3cccc4)cc2)CCNCC1.Cl,
Tubastatin A Hydrochloride,Tubastatin A HCl; TSA HCl; Tubastatin A Hydrochloride,1310693-92-5,CN1CCc2c(C1)c1ccccc1n2Cc1ccc(cc1)C(=O)NO.Cl,
BS-181 hydrochloride,BS-181 HCl; BS-181 hydrochloride,1397219-81-6,Cl.CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12,
BI-D1870,,501437-28-1,CC(C)CCN1C(C)C(=O)N(C)c2cnc(Nc3cc(F)c(O)c(F)c3)nc12,
R406,R-406 besylate,841290-81-1,OS(=O)(=O)c1ccccc1.COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC,
IKK 16,IKK16; IKK 16; IKK-16; IKK Inhibitor VII,873225-46-8,O=C(N1CCC(CC1)N1CCCC1)c1ccc(Nc2nccc(n2)c2cc3ccccc3s2)cc1,
UPF 1069,,1048371-03-4,c1(=O)[nH]ccc2c(cccc12)OCC(=O)c1ccccc1,
ISRIB (trans-isomer),ISRIB trans-isomer; ISRIB; trans-isomer; trans-ISRIB,1597403-47-8,Clc1ccc(OCC(N[C@@H]2CC[C@@H](NC(COc3ccc(Cl)cc3)=O)CC2)=O)cc1,
Orantinib,TSU-68; SU6668; NSC 702827,252916-29-3,Cc1[nH]c(\C=C2/C(=O)Nc3ccccc23)c(C)c1CCC(O)=O,
TRAM-34,TRAM34; TRAM 34; TRAM-34; Triarylmethane-34,289905-88-0,n1(nccc1)C(c1ccccc1)(c1ccccc1)c1c(cccc1)Cl,
Desvenlafaxine succinate hydrate,O-Desmethylvenlafaxine succinate hydrate; Desvenlafaxine Succinate; WY 45233 Succinate,386750-22-7,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O.C(CC(=O)O)C(=O)O.O,
PP1,EI 275; AGL 1872,172889-26-8,Cc1ccc(cc1)c1nn(c2ncnc(N)c12)C(C)(C)C,
PJ34,,344458-19-1,CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1,
QNZ,EVP4593; CAY10470,545380-34-5,c1ccc(cc1)Oc1ccc(cc1)CCNc1ncnc2c1cc(cc2)N,
PHA-767491,PHA767491; PHA 767491; PHA-767491; CAY10572,845714-00-3,C1CNC(=O)c2c1[nH]c(c2)c1ccncc1,
SC144,,895158-95-9,Fc1cc2c(cc1)n1cccc1c(NNC(=O)c1cnccn1)n2,
AS-252424,AS252424; AS 252424; AS-252424,900515-16-4,C1=CC(=C(C=C1F)O)C2=CC=C(O2)/C=C\3/C(=O)NC(=O)S3,
CW-069,CW069,1594094-64-0,O=C(O)c1cc(I)ccc1NC(=O)[C@@H](NCc1ccccc1)Cc1ccccc1,
Pifithrin-μ,2-Phenylethynesulfonamide; PFTμ; NSC 303580,64984-31-2,c1ccc(cc1)C#CS(=O)(=O)N,
Adenine hydrochloride,Adenine HCl; 6-Aminopurine hydrochloride,2922-28-3,Cl.Nc1ncnc2[nH]cnc12,
WZ4002,,1213269-23-8,O=C(C=C)NC=1C=CC=C(OC2=NC(=NC=C2Cl)NC3=CC=C(C=C3OC)N4CCN(C)CC4)C1,
BAPTA-AM,BAPTA/AM,126150-97-8,CC(=O)OCOC(=O)CN(CC(=O)OCOC(=O)C)c1ccccc1OCCOc1ccccc1N(CC(=O)OCOC(=O)C)CC(=O)OCOC(=O)C,
H-89 dihydrochloride,H 89 2HCl; H-89 dihydrochloride; Protein kinase inhibitor H-89 dihydrochloride; 5-Isoquinolinesulfonamide,130964-39-5,Cl.Cl.Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1,
Bromosporine,,1619994-69-2,CCOC(=O)Nc1cc(nn2c(C)nnc12)c1cc(NS(=O)(=O)C)c(C)cc1,
AZ191,,1594092-37-1,COc1cc(ccc1Nc1nccc(n1)-c1cn(C)c2cnccc12)N1CCN(C)CC1,
Zibotentan,ZD4054,186497-07-4,COC1=NC(C)=CN=C1NS(=O)(=O)C1=CC=CN=C1C1=CC=C(C=C1)C1=NN=CO1,
Bosentan (hydrate),Bosentan Hydrate; Ro 47-0203; Benzenesulfonamide; Actelion,157212-55-0,O.COC1=CC=CC=C1OC1=C(OCCO)N=C(N=C1NS(=O)(=O)C1=CC=C(C=C1)C(C)(C)C)C1=NC=CC=N1,
PP2,"AGL 1879; AG 1879,AGL 1879",172889-27-9,CC(C)(C)n1c2c(c(n1)c1ccc(cc1)Cl)c(ncn2)N,
Trichostatin A,TSA,58880-19-6,C[C@H](\C=C(C)\C=C\C(=O)NO)C(=O)c1ccc(cc1)N(C)C,
Tipifarnib,R115777; IND 58359; Zarnestra,192185-72-1,n1(c(=O)cc(c2cc(ccc12)[C@@](c1cncn1C)(c1ccc(cc1)Cl)N)c1cc(ccc1)Cl)C,
KU-57788,NU7441; KU-57788,503468-95-9,O=c1cc(oc2c(cccc12)-c1cccc2c3ccccc3sc12)N1CCOCC1,
TW-37,TW37; TW 37; TW-37,877877-35-5,CC(C)c1ccccc1Cc1c(c(c(c(c1)C(=O)Nc1ccc(cc1)S(=O)(=O)c1ccccc1C(C)(C)C)O)O)O,
WZ4003,,1214265-58-3,C(=O)(CC)Nc1cc(ccc1)Oc1nc(ncc1Cl)Nc1c(cc(cc1)N1CCN(CC1)C)OC,
NVP-BSK805 2HCl (1092499-93-8(free base)),NVP-BSK805 dihydrochloride ,T6294,Cl.Cl.Fc1cc(cc(F)c1CN1CCOCC1)-c1cccc2ncc(nc12)-c1cnn(c1)C1CCNCC1,
RAF265,CHIR-265,927880-90-8,CN1C(NC2=CC=C(C=C2)C(F)(F)F)=NC2=C1C=CC(OC1=CC=NC(=C1)C1=NC=C(N1)C(F)(F)F)=C2,
AT7867,,857531-00-1,ClC1=CC=C(C=C1)C1(CCNCC1)C1=CC=C(C=C1)C1=CNN=C1,
Stattic,STAT3 Inhibitor V,19983-44-9,[O-][N+](=O)c1ccc2C=CS(=O)(=O)c2c1,
AZ960,AZ 960,905586-69-8,Cc1cc(n[nH]1)Nc1c(cc(c(n1)N[C@@H](C)c1ccc(cc1)F)C#N)F,
R547,Ro 4584820,741713-40-6,COC1=CC=C(F)C(F)=C1C(=O)C1=C(N)N=C(NC2CCN(CC2)S(C)(=O)=O)N=C1,
MLN8054,,869363-13-3,C1c2cnc(nc2c2c(cc(cc2)Cl)C(=N1)c1c(cccc1F)F)Nc1ccc(cc1)C(=O)O,
AZ 628,,878739-06-1,CN1C=NC2=C(C=C(NC3=CC(NC(=O)C4=CC(=CC=C4)C(C)(C)C#N)=CC=C3C)C=C2)C1=O,
OSI-027,OSI027; OSI 027; OSI-027; ASP4786,936890-98-1,COC1=CC=CC2=C1NC(=C2)C1=C2N(N=CN=C2N)C(=N1)[C@H]1CC[C@@H](CC1)C(O)=O,
GDC-0879,GDC0879; GDC 0879; GDC-0879; AR-00341677,905281-76-7,C1C/C(=N\O)/c2c1cc(cc2)c1cn(nc1c1ccncc1)CCO,
BIX02188,,1094614-84-2,CN(C)Cc1cccc(N\C(c2ccccc2)=C2/C(=O)Nc3cc(ccc23)C(N)=O)c1,
Desmethyl Erlotinib,CP-473420; OSI-420; O-Desmethyl Erlotinib,183321-86-0,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCO,
Pevonedistat,MLN4924,905579-51-3,NS(=O)(=O)OC[C@@H]1C[C@H](C[C@@H]1O)n1ccc2c(N[C@H]3CCc4ccccc34)ncnc12,
Amonafide,"AS1413; NSC308847,AS1413; Nafidimide; Quinamed",69408-81-7,CN(C)CCN1C(=O)C2=CC(N)=CC3=CC=CC(C1=O)=C23,
RepSox,SJN 2511; E-616452; ALK5 Inhibitor II,446859-33-2,Cc1cccc(n1)c1c(cn[nH]1)c1nc2c(cc1)nccc2,
PHA-680632,PHA680632; PHA 680632; PHA-680632,398493-79-3,CCC1=CC=CC(CC)=C1NC(=O)N1CC2=C(C1)C(NC(=O)C1=CC=C(C=C1)N1CCN(C)CC1)=NN2,
PF04929113,PF 04929113; PF-04929113; SNX-5422,908115-27-5,CC1(C)Cc2c(c(nn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@@H](CC3)OC(=O)CN)c2)C(F)(F)F)C(=O)C1,
NSC 23766 trihydrochloride,NSC 23766; Rac1 Inhibitor,1177865-17-6,Cl.Cl.Cl.CCN(CC)CCCC(C)Nc1nc(C)cc(Nc2ccc3nc(C)cc(N)c3c2)n1,
NVP-BHG712,,940310-85-0,Cc1ccc(cc1Nc1nc(nc2n(C)ncc12)-c1cccnc1)C(=O)Nc1cccc(c1)C(F)(F)F,
1-Azakenpaullone,azakenpaullone,676596-65-9,BrC1=CC2=C(NC3=C2CC(=O)NC2=C3N=CC=C2)C=C1,
4μ8C,IRE1 Inhibitor III,14003-96-4,Cc1cc(=O)oc2c1ccc(c2C=O)O,
A-966492,A966492; A 966492; A-966492,934162-61-5,NC(=O)c1cccc2[nH]c(nc12)-c1ccc(cc1F)[C@@H]1CCCN1,
AGK2,,304896-28-4,c1cc2c(cccn2)c(c1)NC(=O)/C(=C/c1ccc(o1)c1c(ccc(c1)Cl)Cl)/C#N,
AMG-458,AMG458; AMG 458; AMG-458,913376-83-7,COC1=CC2=NC=CC(OC3=CN=C(NC(=O)C4=C(C)N(CC(C)(C)O)N(C4=O)C4=CC=CC=C4)C=C3)=C2C=C1,
ARQ 621,,1095253-39-6,NCCCN([C@H](CC#C)C1=NC2=C(C=CC(Cl)=C2)C(=O)N1NC1=CC=CC=C1)C(=O)C1=CC=CC(Cl)=C1F,
AS-604850,AS604850; AS 604850; AS-604850,648449-76-7,FC1(F)Oc2ccc(cc2O1)\C=C1/SC(=O)NC1=O,
AZD3514,,1240299-33-5,CC(=O)N1CCN(CCOC2=CC=C(C=C2)C2CCN(CC2)C2=NN3C(CC2)=NN=C3C(F)(F)F)CC1,
Betaxolol,SL 75212; Kerlone; Betoptic,63659-18-7,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,
BML-190,BML190; BML 190; BML-190; IMMA; Indomethacin morpholinylamide,2854-32-2,Cc1c(c2c(n1C(=O)c1ccc(cc1)Cl)ccc(c2)OC)CC(=O)N1CCOCC1,
BMS-536924,BMS536924; BMS 536924; BMS-536924; CS-0117,468740-43-4,CC1=C2N=C(NC2=CC(=C1)N1CCOCC1)C1=C(NC[C@@H](O)C2=CC=CC(Cl)=C2)C=CNC1=O,
BRD73954,,1440209-96-0,c1ccc(cc1)CCNC(=O)c1cc(ccc1)C(=O)NO,
BRL-15572 dihydrochloride,BRL 15572 dihydrochloride; BRL 15573 dihydrochloride,193611-72-2,Cl.Cl.OC(CN1CCN(CC1)c1cccc(Cl)c1)C(c1ccccc1)c1ccccc1,
Buclizine dihydrochloride,Buclizine HCl; UCB-4445; Longifene; Buclina,129-74-8,CC(C)(C)c1ccc(cc1)CN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)Cl.Cl.Cl,
CAY10505,,1218777-13-9,Fc1ccc(cc1)-c1ccc(\C=C2\SC(=O)NC2=O)o1,
CCT129202,,942947-93-5,CN(C)c1ccc(cc1)-c1nc2ncc(Cl)c(N3CCN(CC(=O)Nc4nccs4)CC3)c2[nH]1,
CGP 57380,MNK1 Inhibitor,522629-08-9,Nc1ncnc2[nH]nc(Nc3ccc(F)cc3)c12,
Chloroprocaine hydrochloride,Chloroprocaine HCl,3858-89-7,Cl.CCN(CC)CCOC(=O)C1=C(Cl)C=C(N)C=C1,
CORM-3,CORM3; CORM 3; CORM-3,475473-26-8,[C-]#[O+].[C-]#[O+].[C-]#[O+].NCC(=O)O[Ru]Cl,
CRT0044876,"NSC 69877,7-NO2-ICA; 7-Nitroindole-2-Carboxylic Acid; NSC 69877",6960-45-8,OC(=O)c1cc2cccc([N+]([O-])=O)c2[nH]1,
Deltarasin,,1440898-61-2,C(OC1=CC=C(C=C1)C1=NC2=C(C=CC=C2)N1CC1=CC=CC=C1)[C@H](C1CCNCC1)N1C2=CC=CC=C2N=C1C1=CC=CC=C1,
Detomidine hydrochloride,Detomidine HCl; Detomidine hydrochloride; Domosedan; MPV-253 AII,90038-01-0,Cl.CC1=C(C)C(CC2=CNC=N2)=CC=C1,
Dexamethasone Sodium Phosphate,Dalalone; Dexadreson; Dexagro,55203-24-2,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C.[Na+].[Na+],
Diclofenac Potassium,CGP-45840B; Cataflam; Voltfast,15307-81-0,[K+].[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,
(±)-Carnitine chloride,DL-Carnitine HCl; (±)-Carnitine chloride; DL-Carnitine chloride; Monocamin; Bicarnesine,461-05-2,[Cl-].C[N+](C)(C)CC(O)CC(O)=O,
Dovitinib lactate hydrate,Dovitinib Lactate; Dovitinib (TKI258) Lactate; TKI258,915769-50-5,O.CC(O)C(O)=O.CN1CCN(CC1)c1ccc2nc([nH]c2c1)-c1c(N)c2c(F)cccc2[nH]c1=O,
Droxinostat,NS 41080,99873-43-5,Cc1cc(Cl)ccc1OCCCC(=O)NO,
Epinastine hydrochloride,Epinastine HCl; WAL-801CL HCl; Alesion; Elestat,108929-04-0,Cl[H].NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21,
Fenoprofen Calcium,,34597-40-5,[Ca++].CC(C([O-])=O)C1=CC(OC2=CC=CC=C2)=CC=C1.CC(C([O-])=O)C1=CC(OC2=CC=CC=C2)=CC=C1,
Fluorometholone Acetate,NSC 47438; Eflone; Oxylone acetate; Flarex,3801-06-7,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)C[C@]([H])(O)[C@@]1(F)[C@@]2([H])C[C@]([H])(C)C2=CC(=O)C=C[C@]12C,
GDC-0349,GDC0349; GDC 0349; GDC-0349; RG-7603,1207360-89-1,CCNC(=O)NC1=CC=C(C=C1)C1=NC(N2CCOC[C@@H]2C)=C2CCN(CC2=N1)C1COC1,
Bisindolylmaleimide I,Go 6850; GF109203X,133052-90-1,CN(C)CCCn1cc(c2ccccc12)C1=C(C(=O)NC1=O)c1c[nH]c2ccccc12,
Glasdegib,PF-04449913,1095173-27-5,CN1CC[C@H](C[C@@H]1C2=NC3=CC=CC=C3N2)NC(=O)NC4=CC=C(C=C4)C#N,
GW 5074,GW5074; Raf1 Kinase Inhibitor I,220904-83-6,c1cc2c(cc1I)/C(=C/c1cc(c(c(c1)Br)O)Br)/C(=O)N2,
HC-030031,HC030031; HC 030031; HC-030031; TOSLAB 829227,349085-38-7,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,
Hesperadin,,422513-13-1,CCS(=O)(=O)Nc1cc2c(cc1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)CN1CCCCC1,
Histamine Phosphate,Histamine diphosphate; Histamine acid phosphate,51-74-1,OP(O)(O)=O.OP(O)(O)=O.NCCC1=CNC=N1,
HJC0350,,885434-70-8,Cc1cc(c(c(c1)C)S(=O)(=O)n1cc(cc1C)C)C,
